EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2687,5000,  4,  24,    4,     2,    394 
2093,5000,  4,  24,    4,     2,    396 
2031,5000,  7,  24,    4,     2,    392 
2018,5000,  3,  24,    4,     2,    394 
2069,5000,  5,  24,    4,     2,    397 
2057,5000,  5,  24,    4,     2,    392 
2002,5000,  3,  24,    4,     2,    394 
2000,5000,  8,  24,    4,     2,    393 
1997,5000,  6,  24,    4,     2,    395 
1972,5000,  7,  24,    4,     2,    398 
