EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2757,5000,  4,  26,    6,     2,    394 
2114,5000,  5,  26,    6,     2,    395 
2105,5000,  3,  26,    6,     2,    392 
2073,5000,  5,  26,    6,     2,    399 
2111,5000,  4,  26,    6,     2,    398 
2096,5000,  5,  26,    6,     2,    396 
2075,5000,  9,  26,    6,     2,    393 
2057,5000,  3,  26,    6,     2,    396 
2074,5000,  4,  26,    6,     2,    395 
2103,5000,  7,  26,    6,     2,    391 
