EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2640,5000,  3,  21,    3,     2,    393 
1987,5000,  5,  21,    3,     2,    395 
1915,5000,  3,  21,    3,     2,    394 
1924,5000,  3,  21,    3,     2,    394 
1977,5000,  4,  21,    3,     2,    391 
1923,5000,  3,  21,    3,     2,    390 
1996,5000,  4,  21,    3,     2,    392 
1934,5000,  2,  21,    3,     2,    393 
1933,5000,  3,  21,    3,     2,    395 
1956,5000, 10,  21,    3,     2,    396 
