EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
3301,5000,  1,  27,    8,     2,    392 
2785,5000,  6,  27,    8,     2,    390 
2724,5000,  6,  27,    8,     2,    394 
2779,5000,  6,  27,    8,     2,    390 
2741,5000,  8,  27,    8,     2,    394 
2702,5000,  8,  27,    8,     2,    393 
2693,5000,  8,  27,    8,     2,    395 
2718,5000,  8,  27,    8,     2,    392 
2682,5000,  0,  27,    8,     2,    393 
2715,5000,  0,  27,    8,     2,    394 
