EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
3324,5000,  9,  15,    4,     2,    395 
2514,5000, 11,  15,    4,     2,    392 
2139,5000,  6,  15,    4,     2,    396 
1843,5000, 11,  15,    4,     2,    399 
1796,5000,  9,  15,    4,     2,    392 
1800,5000,  7,  15,    4,     2,    394 
1880,5000, 11,  15,    4,     2,    399 
1867,5000,  9,  15,    4,     2,    393 
1796,5000,  8,  15,    4,     2,    398 
1794,5000,  6,  15,    4,     2,    396 
