EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
3080,5000, 12,  20,    7,     2,    395 
1993,5000, 12,  20,    7,     2,    393 
1988,5000,  7,  20,    7,     2,    393 
1959,5000,  7,  20,    7,     2,    394 
1904,5000, 11,  20,    7,     2,    394 
2027,5000,  8,  20,    7,     2,    397 
1978,5000,  9,  20,    7,     2,    393 
1893,5000,  8,  20,    7,     2,    395 
1912,5000,  4,  20,    7,     2,    391 
1915,5000,  5,  20,    7,     2,    397 
