EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2821,5000, 51,   8,    8,     2,    397 
1952,5000, 57,   8,    8,     2,    392 
1838,5000, 50,   8,    8,     2,    393 
1890,5000, 45,   8,    8,     2,    394 
1933,5000, 54,   8,    8,     2,    398 
1839,5000, 54,   8,    8,     2,    393 
1831,5000, 58,   8,    8,     2,    396 
1880,5000, 52,   8,    8,     2,    394 
1822,5000, 61,   8,    8,     2,    393 
1844,5000, 50,   8,    8,     2,    395 
