EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2488,5000, 15,  10,    4,     2,    395 
1835,5000, 28,  10,    4,     2,    395 
1869,5000, 17,  10,    4,     2,    397 
1781,5000, 18,  10,    4,     2,    395 
1824,5000, 15,  10,    4,     2,    395 
1791,5000, 16,  10,    4,     2,    394 
1882,5000, 20,  10,    4,     2,    397 
1771,5000, 22,  10,    4,     2,    394 
1788,5000, 24,  10,    4,     2,    398 
1763,5000, 23,  10,    4,     2,    396 
