EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2689,5000,  6,  21,    8,     2,    394 
2017,5000,  9,  21,    8,     2,    394 
2006,5000,  6,  21,    8,     2,    402 
1963,5000, 15,  21,    8,     2,    392 
1937,5000, 10,  21,    8,     2,    394 
1995,5000, 13,  21,    8,     2,    396 
1950,5000,  8,  21,    8,     2,    392 
1955,5000,  4,  21,    8,     2,    394 
1947,5000, 12,  21,    8,     2,    392 
1927,5000,  6,  21,    8,     2,    391 
