EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2615,5000,  5,   8,    1,     2,    396 
1781,5000, 10,   8,    1,     2,    393 
1744,5000,  9,   8,    1,     2,    395 
1777,5000, 10,   8,    1,     2,    396 
2027,5000,  7,   8,    1,     2,    397 
1826,5000,  8,   8,    1,     2,    400 
1761,5000,  6,   8,    1,     2,    394 
1919,5000,  7,   8,    1,     2,    397 
1822,5000,  8,   8,    1,     2,    396 
1686,5000,  5,   8,    1,     2,    396 
