EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2956,5000, 21,  18,    9,     2,    396 
2033,5000, 12,  18,    9,     2,    396 
1936,5000,  7,  18,    9,     2,    393 
1900,5000, 11,  18,    9,     2,    399 
1962,5000, 15,  18,    9,     2,    397 
1916,5000, 16,  18,    9,     2,    395 
1914,5000, 16,  18,    9,     2,    392 
1921,5000, 16,  18,    9,     2,    394 
1872,5000, 14,  18,    9,     2,    395 
1910,5000, 12,  18,    9,     2,    398 
