EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2571,5000,  2,  27,    2,     2,    393 
2175,5000,  1,  27,    2,     2,    391 
2103,5000,  2,  27,    2,     2,    393 
2087,5000,  0,  27,    2,     2,    394 
2060,5000,  2,  27,    2,     2,    394 
2078,5000,  0,  27,    2,     2,    393 
2091,5000,  1,  27,    2,     2,    393 
2264,5000,  4,  27,    2,     2,    395 
2070,5000,  2,  27,    2,     2,    394 
2088,5000,  3,  27,    2,     2,    397 
