EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
3424,5000, 33,  11,    8,     2,    394 
2610,5000, 32,  11,    8,     2,    396 
2395,5000, 39,  11,    8,     2,    393 
2342,5000, 27,  11,    8,     2,    395 
2540,5000, 47,  11,    8,     2,    394 
1988,5000, 34,  11,    8,     2,    393 
2075,5000, 33,  11,    8,     2,    396 
1987,5000, 31,  11,    8,     2,    391 
2059,5000, 24,  11,    8,     2,    392 
2214,5000, 39,  11,    8,     2,    395 
