EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2741,5000, 18,  17,    9,     2,    394 
2034,5000, 19,  17,    9,     2,    391 
1919,5000, 17,  17,    9,     2,    395 
1920,5000, 19,  17,    9,     2,    392 
1926,5000, 17,  17,    9,     2,    395 
1922,5000, 16,  17,    9,     2,    393 
1846,5000, 18,  17,    9,     2,    393 
1863,5000, 21,  17,    9,     2,    394 
1865,5000, 19,  17,    9,     2,    395 
1839,5000, 21,  17,    9,     2,    393 
