EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2698,5000,  5,  21,    5,     2,    398 
1993,5000,  8,  21,    5,     2,    391 
1962,5000,  8,  21,    5,     2,    392 
1993,5000,  3,  21,    5,     2,    393 
1967,5000,  7,  21,    5,     2,    392 
2016,5000,  5,  21,    5,     2,    393 
1922,5000,  7,  21,    5,     2,    394 
1958,5000, 12,  21,    5,     2,    393 
1947,5000,  7,  21,    5,     2,    396 
1945,5000,  3,  21,    5,     2,    394 
