EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
3028,5000,128,   4,    5,     2,    393 
1987,5000,116,   4,    5,     2,    399 
2108,5000,130,   4,    5,     2,    403 
2067,5000,113,   4,    5,     2,    398 
2023,5000,123,   4,    5,     2,    400 
1989,5000,114,   4,    5,     2,    395 
2051,5000,123,   4,    5,     2,    397 
2149,5000,152,   4,    5,     2,    394 
1968,5000,121,   4,    5,     2,    400 
1958,5000,111,   4,    5,     2,    394 
