EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
4212,5000,584,   2,    4,     2,    399 
3228,5000,633,   2,    4,     2,    396 
3263,5000,638,   2,    4,     2,    399 
3037,5000,650,   2,    4,     2,    395 
3039,5000,605,   2,    4,     2,    400 
2893,5000,625,   2,    4,     2,    403 
3074,5000,699,   2,    4,     2,    395 
2882,5000,632,   2,    4,     2,    393 
2809,5000,573,   2,    4,     2,    397 
2913,5000,607,   2,    4,     2,    391 
