EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
3234,5000,  0,  29,    3,     2,    389 
2826,5000,  2,  29,    3,     2,    392 
2760,5000,  1,  29,    3,     2,    396 
2726,5000,  3,  29,    3,     2,    393 
2746,5000,  3,  29,    3,     2,    395 
2844,5000,  0,  29,    3,     2,    395 
2737,5000,  1,  29,    3,     2,    395 
2752,5000,  2,  29,    3,     2,    395 
2766,5000,  1,  29,    3,     2,    396 
2745,5000,  0,  29,    3,     2,    393 
