EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
3045,5000,  9,  17,    5,     2,    391 
1923,5000, 11,  17,    5,     2,    401 
1872,5000, 11,  17,    5,     2,    394 
1881,5000,  6,  17,    5,     2,    400 
1839,5000, 13,  17,    5,     2,    396 
1866,5000,  7,  17,    5,     2,    392 
1903,5000, 13,  17,    5,     2,    392 
1867,5000,  9,  17,    5,     2,    395 
1862,5000, 13,  17,    5,     2,    394 
1845,5000, 10,  17,    5,     2,    398 
