EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2522,5000, 21,  12,    6,     2,    393 
1921,5000, 25,  12,    6,     2,    394 
1822,5000, 23,  12,    6,     2,    394 
1776,5000, 18,  12,    6,     2,    397 
1804,5000, 23,  12,    6,     2,    394 
1898,5000, 20,  12,    6,     2,    397 
1780,5000, 24,  12,    6,     2,    392 
1804,5000, 19,  12,    6,     2,    391 
1752,5000, 18,  12,    6,     2,    392 
1733,5000, 26,  12,    6,     2,    397 
