EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2584,5000, 18,  13,    5,     2,    396 
1836,5000, 11,  13,    5,     2,    396 
1829,5000, 14,  13,    5,     2,    399 
1796,5000, 18,  13,    5,     2,    393 
1813,5000, 18,  13,    5,     2,    392 
1823,5000, 14,  13,    5,     2,    396 
1754,5000, 16,  13,    5,     2,    394 
1732,5000, 10,  13,    5,     2,    395 
1772,5000, 20,  13,    5,     2,    392 
1770,5000, 14,  13,    5,     2,    395 
