EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2681,5000, 13,  16,    6,     2,    396 
1927,5000, 12,  16,    6,     2,    393 
1932,5000, 13,  16,    6,     2,    398 
1907,5000, 13,  16,    6,     2,    394 
1884,5000,  7,  16,    6,     2,    394 
2034,5000, 16,  16,    6,     2,    391 
1855,5000,  9,  16,    6,     2,    395 
1854,5000, 11,  16,    6,     2,    398 
1835,5000, 14,  16,    6,     2,    391 
1845,5000, 11,  16,    6,     2,    396 
