EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2865,5000,  1,  30,    3,     2,    394 
2345,5000,  4,  30,    3,     2,    395 
2277,5000,  1,  30,    3,     2,    392 
2188,5000,  0,  30,    3,     2,    395 
2257,5000,  0,  30,    3,     2,    395 
2314,5000,  1,  30,    3,     2,    396 
2153,5000,  0,  30,    3,     2,    396 
2171,5000,  2,  30,    3,     2,    395 
2146,5000,  0,  30,    3,     2,    391 
2246,5000,  0,  30,    3,     2,    394 
