EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2730,5000,  4,  26,    5,     2,    398 
2174,5000,  3,  26,    5,     2,    396 
2115,5000,  8,  26,    5,     2,    393 
2097,5000,  8,  26,    5,     2,    393 
2042,5000,  3,  26,    5,     2,    396 
2168,5000,  8,  26,    5,     2,    395 
2042,5000,  5,  26,    5,     2,    391 
2034,5000,  6,  26,    5,     2,    396 
2035,5000,  6,  26,    5,     2,    394 
2058,5000,  4,  26,    5,     2,    396 
