EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
3399,5000,190,   4,    8,     2,    397 
2458,5000,182,   4,    8,     2,    403 
2408,5000,195,   4,    8,     2,    395 
2313,5000,172,   4,    8,     2,    394 
2416,5000,182,   4,    8,     2,    395 
2306,5000,176,   4,    8,     2,    395 
2313,5000,178,   4,    8,     2,    399 
2432,5000,204,   4,    8,     2,    394 
2286,5000,178,   4,    8,     2,    394 
2301,5000,197,   4,    8,     2,    398 
