EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
3506,5000,  5,  26,   10,     2,    396 
2122,5000,  5,  26,   10,     2,    392 
2185,5000, 10,  26,   10,     2,    394 
2085,5000,  5,  26,   10,     2,    395 
2154,5000,  9,  26,   10,     2,    397 
2127,5000, 13,  26,   10,     2,    394 
2073,5000,  9,  26,   10,     2,    395 
2069,5000,  4,  26,   10,     2,    396 
2065,5000,  4,  26,   10,     2,    394 
2096,5000,  7,  26,   10,     2,    393 
