EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2514,5000, 11,  19,    7,     2,    394 
2033,5000,  8,  19,    7,     2,    393 
1948,5000, 11,  19,    7,     2,    394 
1920,5000,  8,  19,    7,     2,    392 
1914,5000, 12,  19,    7,     2,    395 
1989,5000,  8,  19,    7,     2,    392 
1898,5000,  6,  19,    7,     2,    391 
1932,5000, 15,  19,    7,     2,    397 
1897,5000, 12,  19,    7,     2,    394 
1911,5000, 17,  19,    7,     2,    391 
