EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
3234,5000,185,   3,    4,     2,    401 
2414,5000,255,   3,    4,     2,    394 
2174,5000,180,   3,    4,     2,    398 
2137,5000,200,   3,    4,     2,    397 
2342,5000,194,   3,    4,     2,    401 
2109,5000,224,   3,    4,     2,    397 
2225,5000,262,   3,    4,     2,    397 
2119,5000,189,   3,    4,     2,    395 
2142,5000,237,   3,    4,     2,    399 
2193,5000,228,   3,    4,     2,    397 
