EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2554,5000, 14,  11,    4,     2,    394 
1798,5000, 12,  11,    4,     2,    396 
1805,5000, 15,  11,    4,     2,    396 
1877,5000, 19,  11,    4,     2,    395 
1771,5000, 16,  11,    4,     2,    393 
1761,5000, 22,  11,    4,     2,    394 
1861,5000, 14,  11,    4,     2,    394 
1759,5000, 22,  11,    4,     2,    392 
1750,5000, 18,  11,    4,     2,    396 
1739,5000, 12,  11,    4,     2,    393 
