EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2884,5000, 26,  14,    9,     2,    398 
1924,5000, 20,  14,    9,     2,    400 
1912,5000, 29,  14,    9,     2,    393 
1857,5000, 17,  14,    9,     2,    393 
1852,5000, 18,  14,    9,     2,    394 
1838,5000, 29,  14,    9,     2,    394 
1829,5000, 25,  14,    9,     2,    398 
1825,5000, 27,  14,    9,     2,    396 
1803,5000, 29,  14,    9,     2,    393 
1822,5000, 27,  14,    9,     2,    394 
