EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
3013,5000, 18,   5,    1,     2,    397 
2355,5000, 17,   5,    1,     2,    395 
2327,5000, 14,   5,    1,     2,    401 
2252,5000, 12,   5,    1,     2,    400 
2229,5000, 17,   5,    1,     2,    400 
2294,5000, 16,   5,    1,     2,    394 
2335,5000, 13,   5,    1,     2,    395 
2398,5000, 13,   5,    1,     2,    394 
2261,5000, 17,   5,    1,     2,    395 
2272,5000, 16,   5,    1,     2,    396 
