EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2636,5000,  4,  22,    4,     2,    393 
2036,5000,  7,  22,    4,     2,    395 
1963,5000,  4,  22,    4,     2,    399 
1997,5000,  5,  22,    4,     2,    394 
1993,5000,  3,  22,    4,     2,    395 
1953,5000,  4,  22,    4,     2,    396 
1994,5000, 11,  22,    4,     2,    395 
1967,5000,  8,  22,    4,     2,    398 
1961,5000,  7,  22,    4,     2,    395 
1960,5000,  5,  22,    4,     2,    393 
