EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
8241,5000,2535,   1,    7,     2,    396 
6324,5000,2375,   1,    7,     2,    399 
6702,5000,2624,   1,    7,     2,    390 
5920,5000,2285,   1,    7,     2,    397 
6722,5000,2745,   1,    7,     2,    399 
5991,5000,2403,   1,    7,     2,    400 
6285,5000,2502,   1,    7,     2,    396 
5873,5000,2268,   1,    7,     2,    396 
6351,5000,2501,   1,    7,     2,    393 
6592,5000,2710,   1,    7,     2,    386 
