EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2965,5000, 62,   7,    7,     2,    398 
1962,5000, 50,   7,    7,     2,    391 
1986,5000, 57,   7,    7,     2,    389 
1898,5000, 52,   7,    7,     2,    395 
2016,5000, 74,   7,    7,     2,    393 
2295,5000, 58,   7,    7,     2,    398 
1925,5000, 47,   7,    7,     2,    398 
1890,5000, 59,   7,    7,     2,    394 
2029,5000, 68,   7,    7,     2,    392 
2052,5000, 53,   7,    7,     2,    394 
