EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2813,5000,  6,  27,   10,     2,    392 
2167,5000,  9,  27,   10,     2,    396 
2122,5000,  0,  27,   10,     2,    396 
2223,5000,  3,  27,   10,     2,    395 
2132,5000,  4,  27,   10,     2,    397 
2130,5000,  5,  27,   10,     2,    393 
2110,5000,  8,  27,   10,     2,    393 
2097,5000,  4,  27,   10,     2,    393 
2121,5000,  9,  27,   10,     2,    392 
2103,5000, 14,  27,   10,     2,    396 
