EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2552,5000,  9,  19,    5,     2,    393 
1979,5000, 11,  19,    5,     2,    396 
1931,5000,  7,  19,    5,     2,    396 
1942,5000,  6,  19,    5,     2,    392 
1917,5000,  6,  19,    5,     2,    399 
1896,5000,  7,  19,    5,     2,    393 
1873,5000, 10,  19,    5,     2,    392 
1917,5000,  4,  19,    5,     2,    392 
1899,5000, 10,  19,    5,     2,    396 
1887,5000,  8,  19,    5,     2,    391 
