EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2910,5000,  2,  20,    2,     2,    393 
1992,5000,  5,  20,    2,     2,    392 
1927,5000,  4,  20,    2,     2,    394 
1892,5000,  3,  20,    2,     2,    397 
1909,5000,  4,  20,    2,     2,    395 
1900,5000,  0,  20,    2,     2,    396 
2049,5000,  5,  20,    2,     2,    401 
1908,5000,  4,  20,    2,     2,    393 
1896,5000,  2,  20,    2,     2,    392 
1911,5000,  3,  20,    2,     2,    394 
