EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2558,5000, 12,  13,    4,     2,    394 
1836,5000, 12,  13,    4,     2,    394 
1812,5000, 10,  13,    4,     2,    392 
1777,5000, 13,  13,    4,     2,    390 
1759,5000, 14,  13,    4,     2,    398 
1745,5000, 10,  13,    4,     2,    392 
1868,5000, 13,  13,    4,     2,    393 
1800,5000, 10,  13,    4,     2,    393 
1774,5000, 14,  13,    4,     2,    397 
1772,5000, 12,  13,    4,     2,    397 
