EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2604,5000,  8,  22,    8,     2,    397 
2041,5000,  9,  22,    8,     2,    396 
2036,5000, 11,  22,    8,     2,    395 
2020,5000,  8,  22,    8,     2,    395 
1975,5000,  8,  22,    8,     2,    389 
2029,5000, 12,  22,    8,     2,    394 
2011,5000,  7,  22,    8,     2,    391 
2000,5000,  8,  22,    8,     2,    394 
2003,5000, 12,  22,    8,     2,    393 
1997,5000,  7,  22,    8,     2,    394 
