EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2847,5000,  0,  28,    2,     2,    393 
2195,5000,  0,  28,    2,     2,    394 
2171,5000,  2,  28,    2,     2,    398 
2096,5000,  0,  28,    2,     2,    392 
2088,5000,  2,  28,    2,     2,    394 
2096,5000,  0,  28,    2,     2,    396 
2184,5000,  2,  28,    2,     2,    395 
2089,5000,  2,  28,    2,     2,    393 
2076,5000,  1,  28,    2,     2,    393 
2143,5000,  5,  28,    2,     2,    392 
