EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2609,5000, 31,   7,    3,     2,    395 
1904,5000, 26,   7,    3,     2,    401 
1840,5000, 26,   7,    3,     2,    394 
1824,5000, 31,   7,    3,     2,    394 
1865,5000, 25,   7,    3,     2,    393 
1869,5000, 25,   7,    3,     2,    393 
1886,5000, 31,   7,    3,     2,    398 
1922,5000, 30,   7,    3,     2,    395 
1805,5000, 29,   7,    3,     2,    396 
1810,5000, 28,   7,    3,     2,    397 
