EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
3268,5000,131,   3,    2,     2,    398 
2382,5000,117,   3,    2,     2,    400 
2419,5000,117,   3,    2,     2,    397 
2404,5000,163,   3,    2,     2,    399 
2266,5000,110,   3,    2,     2,    398 
2392,5000,136,   3,    2,     2,    398 
2545,5000,140,   3,    2,     2,    396 
2336,5000,130,   3,    2,     2,    400 
2368,5000,168,   3,    2,     2,    398 
2394,5000,159,   3,    2,     2,    395 
