EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2640,5000, 36,   9,    7,     2,    396 
1943,5000, 37,   9,    7,     2,    397 
1835,5000, 40,   9,    7,     2,    393 
1749,5000, 34,   9,    7,     2,    395 
1924,5000, 46,   9,    7,     2,    397 
1804,5000, 35,   9,    7,     2,    393 
1866,5000, 42,   9,    7,     2,    390 
1756,5000, 41,   9,    7,     2,    397 
1822,5000, 43,   9,    7,     2,    396 
1779,5000, 32,   9,    7,     2,    395 
