EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2641,5000, 13,  17,    7,     2,    393 
1921,5000, 19,  17,    7,     2,    391 
1941,5000, 18,  17,    7,     2,    392 
1852,5000, 10,  17,    7,     2,    398 
1884,5000, 16,  17,    7,     2,    393 
1957,5000, 11,  17,    7,     2,    397 
1850,5000, 10,  17,    7,     2,    393 
1863,5000, 14,  17,    7,     2,    398 
1846,5000, 13,  17,    7,     2,    391 
1861,5000,  8,  17,    7,     2,    396 
