EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2763,5000,  3,  14,    3,     2,    397 
1791,5000,  8,  14,    3,     2,    395 
1806,5000,  8,  14,    3,     2,    393 
1808,5000, 10,  14,    3,     2,    396 
1793,5000,  3,  14,    3,     2,    395 
1757,5000,  7,  14,    3,     2,    391 
1774,5000,  5,  14,    3,     2,    391 
1781,5000,  8,  14,    3,     2,    396 
1821,5000, 12,  14,    3,     2,    393 
1800,5000, 12,  14,    3,     2,    394 
