EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
3013,5000, 29,  10,   10,     2,    391 
1937,5000, 50,  10,   10,     2,    390 
1804,5000, 41,  10,   10,     2,    394 
1899,5000, 44,  10,   10,     2,    395 
1902,5000, 54,  10,   10,     2,    394 
1874,5000, 48,  10,   10,     2,    398 
1780,5000, 48,  10,   10,     2,    396 
1826,5000, 51,  10,   10,     2,    396 
1870,5000, 41,  10,   10,     2,    394 
1856,5000, 43,  10,   10,     2,    393 
