EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2719,5000, 31,   6,    3,     2,    395 
2001,5000, 27,   6,    3,     2,    399 
1974,5000, 35,   6,    3,     2,    399 
1951,5000, 39,   6,    3,     2,    394 
1978,5000, 34,   6,    3,     2,    394 
2045,5000, 32,   6,    3,     2,    398 
1788,5000, 25,   6,    3,     2,    400 
1829,5000, 35,   6,    3,     2,    394 
1859,5000, 35,   6,    3,     2,    396 
1824,5000, 34,   6,    3,     2,    396 
