EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2920,5000,  7,  27,    7,     2,    393 
2181,5000,  4,  27,    7,     2,    393 
2114,5000,  3,  27,    7,     2,    393 
2170,5000,  3,  27,    7,     2,    390 
2108,5000,  6,  27,    7,     2,    394 
2085,5000,  6,  27,    7,     2,    393 
2093,5000,  1,  27,    7,     2,    396 
2111,5000,  7,  27,    7,     2,    394 
2087,5000,  3,  27,    7,     2,    390 
2098,5000,  5,  27,    7,     2,    396 
