EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
3332,5000,306,   3,    8,     2,    396 
2594,5000,337,   3,    8,     2,    396 
2598,5000,349,   3,    8,     2,    398 
2617,5000,326,   3,    8,     2,    397 
2360,5000,288,   3,    8,     2,    398 
2341,5000,304,   3,    8,     2,    396 
2427,5000,336,   3,    8,     2,    395 
2537,5000,325,   3,    8,     2,    397 
2336,5000,282,   3,    8,     2,    397 
2399,5000,310,   3,    8,     2,    395 
