EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2770,5000,  0,  29,    2,     2,    394 
2261,5000,  0,  29,    2,     2,    391 
2149,5000,  2,  29,    2,     2,    392 
2158,5000,  1,  29,    2,     2,    390 
2133,5000,  1,  29,    2,     2,    393 
2133,5000,  1,  29,    2,     2,    393 
2074,5000,  0,  29,    2,     2,    393 
2131,5000,  1,  29,    2,     2,    398 
2128,5000,  0,  29,    2,     2,    394 
2134,5000,  4,  29,    2,     2,    399 
