EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2634,5000, 23,  16,   10,     2,    397 
1998,5000, 22,  16,   10,     2,    398 
1889,5000, 18,  16,   10,     2,    401 
1903,5000, 20,  16,   10,     2,    399 
1952,5000, 24,  16,   10,     2,    391 
1901,5000, 23,  16,   10,     2,    394 
1883,5000, 20,  16,   10,     2,    394 
1843,5000, 20,  16,   10,     2,    393 
1859,5000, 23,  16,   10,     2,    397 
1852,5000, 23,  16,   10,     2,    394 
