EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2937,5000, 24,  10,    7,     2,    395 
1889,5000, 29,  10,    7,     2,    395 
1856,5000, 28,  10,    7,     2,    395 
1866,5000, 37,  10,    7,     2,    394 
1850,5000, 31,  10,    7,     2,    396 
1863,5000, 37,  10,    7,     2,    393 
1828,5000, 30,  10,    7,     2,    396 
1792,5000, 38,  10,    7,     2,    393 
1813,5000, 37,  10,    7,     2,    392 
1807,5000, 26,  10,    7,     2,    394 
