EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
3056,5000, 45,  11,    9,     2,    396 
2126,5000, 37,  11,    9,     2,    395 
1934,5000, 37,  11,    9,     2,    398 
1824,5000, 37,  11,    9,     2,    394 
2025,5000, 41,  11,    9,     2,    394 
1919,5000, 52,  11,    9,     2,    395 
1919,5000, 33,  11,    9,     2,    394 
1820,5000, 44,  11,    9,     2,    395 
1967,5000, 41,  11,    9,     2,    396 
1888,5000, 40,  11,    9,     2,    393 
