EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2754,5000,  6,  23,    7,     2,    392 
2140,5000, 13,  23,    7,     2,    397 
2052,5000,  6,  23,    7,     2,    396 
2020,5000,  9,  23,    7,     2,    394 
2014,5000, 14,  23,    7,     2,    393 
2089,5000,  4,  23,    7,     2,    396 
2014,5000,  6,  23,    7,     2,    393 
1990,5000, 10,  23,    7,     2,    393 
1981,5000,  7,  23,    7,     2,    390 
1969,5000,  9,  23,    7,     2,    394 
