EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2974,5000,  6,  17,    4,     2,    393 
2407,5000,  7,  17,    4,     2,    396 
2352,5000,  7,  17,    4,     2,    395 
2393,5000, 11,  17,    4,     2,    394 
2391,5000,  8,  17,    4,     2,    394 
2361,5000,  6,  17,    4,     2,    395 
2434,5000, 10,  17,    4,     2,    396 
2366,5000,  6,  17,    4,     2,    394 
2392,5000, 10,  17,    4,     2,    397 
2325,5000, 11,  17,    4,     2,    393 
