EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2833,5000,  5,  22,    5,     2,    395 
2017,5000,  7,  22,    5,     2,    396 
2011,5000,  7,  22,    5,     2,    397 
2047,5000,  9,  22,    5,     2,    394 
1992,5000,  6,  22,    5,     2,    394 
2024,5000, 10,  22,    5,     2,    396 
1948,5000,  8,  22,    5,     2,    395 
1944,5000,  8,  22,    5,     2,    396 
1965,5000,  4,  22,    5,     2,    394 
1937,5000,  4,  22,    5,     2,    394 
