EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
3273,5000,  2,  23,    1,     2,    392 
2601,5000,  3,  23,    1,     2,    398 
2542,5000,  1,  23,    1,     2,    394 
2560,5000,  2,  23,    1,     2,    394 
2597,5000,  1,  23,    1,     2,    398 
2532,5000,  0,  23,    1,     2,    393 
2591,5000,  0,  23,    1,     2,    394 
2574,5000,  0,  23,    1,     2,    392 
2513,5000,  2,  23,    1,     2,    392 
2545,5000,  2,  23,    1,     2,    396 
