EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
3402,5000,161,   4,    7,     2,    396 
2278,5000,175,   4,    7,     2,    397 
2298,5000,163,   4,    7,     2,    393 
2211,5000,165,   4,    7,     2,    393 
2267,5000,173,   4,    7,     2,    395 
2352,5000,150,   4,    7,     2,    397 
2206,5000,150,   4,    7,     2,    396 
2208,5000,165,   4,    7,     2,    399 
2255,5000,152,   4,    7,     2,    396 
2179,5000,155,   4,    7,     2,    396 
