EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2759,5000, 35,  10,    8,     2,    393 
1920,5000, 32,  10,    8,     2,    394 
1840,5000, 32,  10,    8,     2,    392 
1865,5000, 47,  10,    8,     2,    392 
1947,5000, 40,  10,    8,     2,    394 
1846,5000, 33,  10,    8,     2,    397 
1810,5000, 41,  10,    8,     2,    395 
1870,5000, 30,  10,    8,     2,    395 
1864,5000, 37,  10,    8,     2,    396 
1932,5000, 32,  10,    8,     2,    396 
