EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2683,5000, 24,  14,    8,     2,    393 
1941,5000, 21,  14,    8,     2,    395 
1794,5000, 20,  14,    8,     2,    400 
1879,5000, 26,  14,    8,     2,    393 
1810,5000, 20,  14,    8,     2,    394 
1808,5000, 25,  14,    8,     2,    395 
1836,5000, 20,  14,    8,     2,    393 
1805,5000, 19,  14,    8,     2,    397 
1806,5000, 25,  14,    8,     2,    392 
1795,5000, 22,  14,    8,     2,    395 
