EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
3062,5000,127,   5,    8,     2,    394 
2108,5000,120,   5,    8,     2,    394 
2223,5000,123,   5,    8,     2,    395 
1975,5000,118,   5,    8,     2,    393 
1997,5000,112,   5,    8,     2,    393 
2003,5000,116,   5,    8,     2,    398 
2124,5000,124,   5,    8,     2,    395 
2120,5000,138,   5,    8,     2,    394 
1994,5000,110,   5,    8,     2,    394 
2005,5000,117,   5,    8,     2,    395 
