EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2876,5000,  4,  24,    6,     2,    394 
2090,5000,  7,  24,    6,     2,    400 
2063,5000,  6,  24,    6,     2,    396 
2067,5000,  5,  24,    6,     2,    395 
2053,5000,  8,  24,    6,     2,    394 
2127,5000,  5,  24,    6,     2,    396 
1990,5000, 10,  24,    6,     2,    398 
2035,5000,  6,  24,    6,     2,    392 
2059,5000,  3,  24,    6,     2,    396 
2003,5000,  3,  24,    6,     2,    392 
