EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
3474,5000,338,   3,    9,     2,    397 
2548,5000,340,   3,    9,     2,    401 
2730,5000,409,   3,    9,     2,    393 
2515,5000,405,   3,    9,     2,    401 
2432,5000,343,   3,    9,     2,    393 
2428,5000,381,   3,    9,     2,    404 
2515,5000,389,   3,    9,     2,    394 
2374,5000,331,   3,    9,     2,    398 
2321,5000,382,   3,    9,     2,    397 
2436,5000,384,   3,    9,     2,    396 
