EvolutionDelay,NumberOfEvals,Emigrations,EvaluatorsCount,ReproducersCount,IslandsCount,BestSol
2811,5000, 11,  24,   10,     2,    399 
2160,5000, 19,  24,   10,     2,    394 
2118,5000, 15,  24,   10,     2,    396 
2039,5000, 10,  24,   10,     2,    392 
2093,5000,  7,  24,   10,     2,    396 
2056,5000, 10,  24,   10,     2,    394 
2051,5000,  9,  24,   10,     2,    392 
2019,5000, 11,  24,   10,     2,    398 
2018,5000, 10,  24,   10,     2,    395 
2049,5000, 15,  24,   10,     2,    393 
